번호	성분명(한글)	표준 영문명(INCI)	상태
181	울금뿌리추출물	Curcuma Longa (Turmeric) Root Extract	표준명 있음
182	울트라마린	Ultramarines	표준명 있음
183	이눌린라우릴카바메이트	Inulin Lauryl Carbamate	표준명 있음
184	인도멀구슬나무껍질추출물	Melia Azadirachta Bark Extract	표준명 있음
185	인도멀구슬나무꽃추출물	Melia Azadirachta Flower Extract	표준명 있음
186	인도멀구슬나무잎추출물	Melia Azadirachta Leaf Extract	표준명 있음
187	자이언트켈프추출물	Macrocystis Pyrifera (Kelp) Extract	표준명 있음
188	잔탄검	Xanthan Gum	표준명 있음
189	적색산화철	Iron Oxide Red	표준명 있음
190	정제수	Water	표준명 있음
191	제라니올	Geraniol	표준명 있음
192	제인	Zein	표준명 있음
193	조선현호색뿌리추출물	Corydalis Turtschaninovii Root Extract	표준명 있음
194	징크옥사이드	Zinc Oxide	표준명 있음
195	참산호말추출물	Corallina Officinalis Extract	표준명 있음
196	칡뿌리추출물	Pueraria Lobata Root Extract	표준명 있음
197	카보머	Carbomer	표준명 있음
198	카올린	Kaolin	표준명 있음
199	카카오씨추출물	Theobroma Cacao (Cocoa) Seed Extract	표준명 있음
200	카프릴로일살리실릭애씨드	Capryloyl Salicylic Acid	표준명 있음
201	카프릴릭/카프릭트라이글리세라이드	Caprylic/Capric Triglyceride	표준명 있음
202	카프릴릴/카프릴글루코사이드	Caprylyl/Capryl Glucoside	표준명 있음
203	카프릴릴글라이콜	Caprylyl Glycol	표준명 있음
204	카프릴릴메티콘	Caprylyl Methicone	표준명 있음
205	캣츠클로추출물	Uncaria Tomentosa Extract	표준명 있음
206	코코-카프릴레이트/카프레이트	Coco-Caprylate/Caprate	표준명 있음
207	코코넛야자열매추출물	Cocos Nucifera (Coconut) Fruit Extract	표준명 있음
208	코토니추출물	Kappaphycus Alvarezii Extract	표준명 있음
209	콜라겐	Collagen	표준명 있음
210	콜레스테롤	Cholesterol	표준명 있음
211	퀸즈랜드넛오일	Macadamia Integrifolia Seed Oil	표준명 있음
212	타라검	Caesalpinia Spinosa Gum	표준명 있음
213	타라열매추출물	Caesalpinia Spinosa Fruit Extract	표준명 있음
214	타임추출물	Thymus Vulgaris (Thyme) Extract	표준명 있음
215	토코페롤	Tocopherol	표준명 있음
216	토코페릴아세테이트	Tocopheryl Acetate	표준명 있음
217	트라넥사믹애씨드	Tranexamic Acid	표준명 있음
218	트라이에톡시카프릴릴실레인	Triethoxycaprylylsilane	표준명 있음
219	트라이에틸헥사노인	Triethylhexanoin	표준명 있음
220	트레할로오스	Trehalose	표준명 있음
221	트로메타민	Tromethamine	표준명 있음
222	티타늄디옥사이드	Titanium Dioxide	표준명 있음
223	티트리잎오일	Melaleuca Alternifolia (Tea Tree) Leaf Oil	표준명 있음
224	티트리추출물	Melaleuca Alternifolia (Tea Tree) Extract	표준명 있음
225	판테놀	Panthenol	표준명 있음
226	팔미토일헥사펩타이드-12	Palmitoyl Hexapeptide-12	표준명 있음
227	팔미틱애씨드	Palmitic Acid	표준명 있음
228	페녹시에탄올	Phenoxyethanol	표준명 있음
229	페닐트라이메티콘	Phenyl Trimethicone	표준명 있음
230	펙틴	Pectin	표준명 있음
231	펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트	Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate	표준명 있음
232	펜틸렌글라이콜	Pentylene Glycol	표준명 있음
233	포도씨오일	Vitis Vinifera (Grape) Seed Oil	표준명 있음
234	포도주	Wine	표준명 있음
235	포타슘코코일글리시네이트	Potassium Cocoyl Glycinate	표준명 있음
236	포타슘하이드록사이드	Potassium Hydroxide	표준명 있음
237	폴리C10-30알킬아크릴레이트	Poly C10-30 Alkyl Acrylate	표준명 있음
238	폴리글리세릴-10라우레이트	Polyglyceryl-10 Laurate	표준명 있음
239	폴리글리세릴-2다이폴리하이드록시스테아레이트	Polyglyceryl-2 Dipolyhydroxystearate	표준명 있음
240	폴리글리세릴-2카프레이트	Polyglyceryl-2 Caprate	표준명 있음
241	폴리글리세릴-3메틸글루코오스다이스테아레이트	Polyglyceryl-3 Methylglucose Distearate	표준명 있음
242	폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘	Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone	표준명 있음
243	폴리글리세릴-6카프릴레이트	Polyglyceryl-6 Caprylate	표준명 있음
244	폴리메틸메타크릴레이트	Polymethyl Methacrylate	표준명 있음
245	폴리메틸실세스퀴옥세인	Polymethylsilsesquioxane	표준명 있음
246	폴리비닐알코올	Polyvinyl Alcohol	표준명 있음
247	폴리실리콘-15	Polysilicone-15	표준명 있음
248	폴리아크릴레이트크로스폴리머-6	Polyacrylate Crosspolymer-6	표준명 있음
249	폴리에터-1	Polyether-1	표준명 있음
250	폴리하이드록시스테아릭애씨드	Polyhydroxystearic Acid	표준명 있음
251	풀루란	Pullulan	표준명 있음
252	프랑스해안송껍질추출물	Pinus Pinaster Bark Extract	표준명 있음
253	프로판다이올	Propanediol	표준명 있음
254	프로필헵틸카프릴레이트	Propylheptyl Caprylate	표준명 있음
255	프룩토올리고사카라이드	Fructooligosaccharides	표준명 있음
256	필리핀오렌지껍질오일	Citrus Nobilis (Mandarin Orange) Peel Oil	표준명 있음
257	하이드로제네이티드레시틴	Hydrogenated Lecithin	표준명 있음
258	하이드로제네이티드폴리(C6-14올레핀)	Hydrogenated Poly(C6-14 Olefin)	표준명 있음
259	하이드록시아세토페논	Hydroxyacetophenone	표준명 있음
260	하이드록시프로필메틸셀룰로오스	Hydroxypropyl Methylcellulose	표준명 있음
261	하이드록시프로필메틸셀룰로오스스테아록시에터	Hydroxypropyl Methylcellulose Stearoxy Ether	표준명 있음
262	하이드록시피나콜론레티노에이트	Hydroxypinacolone Retinoate	표준명 있음
263	하이드롤라이즈드디엔에이	Hydrolyzed DNA	표준명 있음
264	하이드롤라이즈드소듐하이알루로네이트	Hydrolyzed Sodium Hyaluronate	표준명 있음
265	하이드롤라이즈드하이알루로닉애씨드	Hydrolyzed Hyaluronic Acid	표준명 있음
266	하이알루로닉애씨드	Hyaluronic Acid	표준명 있음
267	한련초잎추출물	Eclipta Prostrata Leaf Extract	표준명 있음
268	한련초추출물	Eclipta Prostrata Extract	표준명 있음
269	해바라기씨오일	Helianthus Annuus (Sunflower) Seed Oil	표준명 있음
270	향료	Fragrance	표준명 있음
271	허니서클추출물	Lonicera Caprifolium (Honeysuckle) Extract	표준명 있음
272	헥토라이트	Quaternium-18 Hectorite	표준명 있음
273	호모살레이트	Homosalate	표준명 있음
274	호호바씨오일	Simmondsia Chinensis (Jojoba) Seed Oil	표준명 있음
275	홀리바질잎추출물	Ocimum Sanctum Leaf Extract	표준명 있음
276	홍삼추출물	Panax Ginseng Root Extract	표준명 있음
277	홍차추출물	Camellia Sinensis Leaf Extract	표준명 있음
278	황련뿌리추출물	Coptis Japonica Root Extract	표준명 있음
279	황색산화철	Iron Oxide Yellow	표준명 있음
280	효모/쌀발효여과물	Saccharomyces/Rice Ferment Filtrate	표준명 있음
281	효모발효물	Saccharomyces Ferment	표준명 있음
282	흰서양송로추출물	Tuber Magnatum Extract	표준명 있음
